severity,display_ipv4_address,port,protocol,host_name,cve,classe,tipo_solução
4.5,172.16.1.136,53,UDP,app-172-16-1-136,CVE-2020-29879,DNS Zone Transfer Vulnerabilities,Disable Vulnerable Endpoint
5.0,172.16.0.25,8080,TCP,fw-172-16-0-25,CVE-2020-14522,Outdated TLS Library Issues,Update Linux Kernel Packages
9.1,192.168.1.149,23,TCP,print-192-168-1-149,,FreeBSD Kernel Vulnerabilities,Restrict Port Access
8.8,192.168.2.238,443,TCP,dc-192-168-2-238,CVE-2022-43289,Cross-Site Scripting Vulnerabilities,Renew Certificate Update
6.8,172.16.1.1,22,TCP,app-172-16-1-1,CVE-2023-83778,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
3.7,192.168.1.184,80,TCP,fw-192-168-1-184,,SNMP Default Community Strings,Disable Vulnerable Endpoint
6.0,192.168.1.2,21,TCP,ws-192-168-1-2,,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
5.3,10.0.150.142,443,TCP,web-10-0-150-142,CVE-2023-49466,Expired TLS Certificate Issues,Restrict Sudoers Access
7.8,10.0.23.56,443,TCP,web-10-0-23-56,CVE-2023-78839,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
5.4,192.168.10.155,8443,TCP,app-192-168-10-155,CVE-2020-23791,Outdated TLS Library Issues,Apply Entity Encoding
7.5,10.0.117.160,21,TCP,print-10-0-117-160,CVE-2023-37563,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
6.4,192.168.2.109,1433,TCP,nas-192-168-2-109,CVE-2022-98647,SQL Injection Vulnerabilities,Configure Content Security
8.9,10.2.129.234,443,TCP,ws-10-2-129-234,CVE-2022-53025,Cross-Site Scripting Vulnerabilities,Update Vulnerable Dependencies
8.1,10.2.202.175,80,TCP,gw-10-2-202-175,CVE-2021-57772,Lighttpd Vulnerability Issues,Update Lighttpd Patch
9.3,10.1.21.188,445,TCP,dc-10-1-21-188,CVE-2021-39080,Stack Overflow Vulnerabilities,Restrict Port Access
8.6,192.168.2.216,22,TCP,nas-192-168-2-216,CVE-2021-14569,Stack Overflow Vulnerabilities,Restrict Port Access
4.8,10.1.63.50,8080,TCP,web-10-1-63-50,CVE-2021-43487,Lighttpd Vulnerability Issues,Disable Vulnerable Endpoint
8.5,10.2.67.36,22,TCP,web-10-2-67-36,CVE-2021-80830,Stack Overflow Vulnerabilities,Restrict Port Access
9.8,172.16.0.25,22,TCP,fw-172-16-0-25,CVE-2021-89011,Stack Overflow Vulnerabilities,Restrict Port Access
6.0,10.1.19.242,8080,TCP,db-10-1-19-242,CVE-2020-25031,Lighttpd Vulnerability Issues,Prevent SQL Injection
6.7,10.1.11.170,993,TCP,web-10-1-11-170,CVE-2022-96900,Outdated TLS Library Issues,SNMP Security Configuration
4.3,192.168.2.192,162,UDP,print-192-168-2-192,CVE-2019-40833,SNMP Default Community Strings,Update OpenSSL Packages
4.7,10.2.138.245,22,TCP,nas-10-2-138-245,CVE-2023-46158,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
5.8,192.168.2.238,445,TCP,dc-192-168-2-238,CVE-2018-95535,Outdated Driver Vulnerabilities,Configure Content Security
7.0,10.1.155.163,995,TCP,db-10-1-155-163,CVE-2022-20527,Outdated TLS Library Issues,Update Cipher Suites
8.8,10.1.162.109,80,TCP,app-10-1-162-109,CVE-2022-50492,IIS Vulnerability Issues,Update Security Patches
6.6,10.0.103.187,443,TCP,fw-10-0-103-187,CVE-2023-16029,Expired TLS Certificate Issues,Update Security Patches
8.7,192.168.10.240,8080,TCP,app-192-168-10-240,CVE-2022-14852,Lighttpd Vulnerability Issues,Update Vulnerable Dependencies
8.6,10.2.104.125,23,TCP,dc-10-2-104-125,,Stack Overflow Vulnerabilities,Restrict Port Access
4.2,192.168.1.176,445,TCP,fw-192-168-1-176,CVE-2018-40742,Outdated Driver Vulnerabilities,Update DNSSEC Configuration
8.7,192.168.10.27,445,TCP,ws-192-168-10-27,CVE-2021-82664,FreeBSD Kernel Vulnerabilities,Restrict Port Access
6.7,192.168.1.225,636,TCP,print-192-168-1-225,CVE-2022-69049,Outdated TLS Library Issues,Update OpenSSL Packages
5.7,192.168.10.55,8443,TCP,dc-192-168-10-55,CVE-2023-39842,Expired TLS Certificate Issues,Update End-of-Life Packages
7.2,10.1.225.63,80,TCP,fw-10-1-225-63,CVE-2021-29047,Cross-Site Scripting Vulnerabilities,Update Lighttpd Patch
5.6,172.16.0.227,443,TCP,dc-172-16-0-227,CVE-2023-65824,Expired TLS Certificate Issues,Update Security Patches
7.8,10.1.225.63,22,TCP,fw-10-1-225-63,CVE-2022-45614,Sudo Policy Misconfiguration,Update Tomcat Patch
6.4,192.168.10.42,162,UDP,fw-192-168-10-42,,SNMP Default Community Strings,Update OpenSSL Packages
8.3,192.168.2.192,443,TCP,print-192-168-2-192,CVE-2022-54375,Lighttpd Vulnerability Issues,Disable Vulnerable Endpoint
7.9,10.1.172.221,22,TCP,web-10-1-172-221,CVE-2021-72185,FreeBSD Kernel Vulnerabilities,Restrict Port Access
6.5,10.2.71.119,53,UDP,web-10-2-71-119,CVE-2020-35457,DNS Zone Transfer Vulnerabilities,Disable Vulnerable Endpoint
9.6,192.168.1.139,22,TCP,db-192-168-1-139,CVE-2022-94717,Template Injection Vulnerabilities,Update OpenSSL Packages
7.6,172.16.1.231,993,TCP,nas-172-16-1-231,CVE-2022-37110,Outdated TLS Library Issues,Update Security Patches
5.9,192.168.1.163,8080,TCP,app-192-168-1-163,CVE-2021-94397,Cross-Site Scripting Vulnerabilities,Update Lighttpd Patch
7.9,10.1.155.163,445,TCP,db-10-1-155-163,CVE-2021-69392,Stack Overflow Vulnerabilities,Restrict Port Access
3.2,192.168.10.42,21,TCP,fw-192-168-10-42,CVE-2023-70000,SNMP Default Community Strings,Disable Vulnerable Endpoint
7.6,192.168.2.34,995,TCP,fw-192-168-2-34,CVE-2022-25194,Outdated TLS Library Issues,Update Cipher Suites
9.8,172.16.0.247,445,TCP,web-172-16-0-247,CVE-2021-10427,FreeBSD Kernel Vulnerabilities,Restrict Port Access
5.4,10.1.151.109,445,TCP,srv-10-1-151-109,CVE-2018-25420,Outdated Driver Vulnerabilities,Update DNSSEC Configuration
5.3,10.1.98.98,80,TCP,print-10-1-98-98,,IIS Vulnerability Issues,Disable Vulnerable Endpoint
9.7,192.168.1.139,80,TCP,db-192-168-1-139,CVE-2022-50135,Lighttpd Vulnerability Issues,Update OpenSSL Packages
5.1,192.168.1.68,8443,TCP,gw-192-168-1-68,CVE-2023-21535,Expired TLS Certificate Issues,Restrict Sudoers Access
8.8,10.0.28.238,22,TCP,fw-10-0-28-238,,Stack Overflow Vulnerabilities,Restrict Port Access
6.7,10.1.249.237,995,TCP,gw-10-1-249-237,CVE-2022-88222,Outdated TLS Library Issues,Renew Certificate Update
9.2,10.0.117.160,22,TCP,print-10-0-117-160,CVE-2021-95072,FreeBSD Kernel Vulnerabilities,Restrict Port Access
7.8,10.1.75.112,8443,TCP,db-10-1-75-112,CVE-2020-68277,SNMP Default Community Strings,Apply Entity Encoding
5.2,10.2.69.73,53,UDP,print-10-2-69-73,CVE-2020-54186,SQL Injection Vulnerabilities,Disable Vulnerable Endpoint
8.4,172.16.0.230,443,TCP,print-172-16-0-230,CVE-2022-56105,Template Injection Vulnerabilities,Update Vulnerable Dependencies
8.4,192.168.1.40,22,TCP,fw-192-168-1-40,CVE-2022-41890,Cross-Site Scripting Vulnerabilities,Restrict Port Access
6.4,10.1.173.190,22,TCP,nas-10-1-173-190,CVE-2023-86798,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
8.3,10.0.213.95,445,TCP,print-10-0-213-95,CVE-2021-89393,SNMP Default Community Strings,Restrict Port Access
9.6,192.168.2.34,389,TCP,fw-192-168-2-34,CVE-2023-64920,Cross-Site Scripting Vulnerabilities,Restrict Port Access
4.7,10.1.6.190,443,TCP,app-10-1-6-190,,Expired TLS Certificate Issues,Update End-of-Life Packages
7.9,10.2.32.169,636,TCP,dc-10-2-32-169,CVE-2022-70946,Outdated TLS Library Issues,SNMP Security Configuration
8.8,10.1.250.195,445,TCP,nas-10-1-250-195,CVE-2021-70081,Stack Overflow Vulnerabilities,Restrict Port Access
6.4,192.168.1.42,53,UDP,dc-192-168-1-42,CVE-2020-90350,DNS Zone Transfer Vulnerabilities,Disable Vulnerable Endpoint
6.9,192.168.10.155,8443,TCP,app-192-168-10-155,CVE-2022-73156,IIS Vulnerability Issues,Renew Certificate Update
4.2,10.0.149.123,443,TCP,nas-10-0-149-123,CVE-2021-30298,Cross-Site Scripting Vulnerabilities,Disable Vulnerable Endpoint
5.0,10.1.113.207,53,UDP,nas-10-1-113-207,CVE-2020-83669,DNS Zone Transfer Vulnerabilities,Disable Vulnerable Endpoint
7.1,192.168.2.41,8443,TCP,dc-192-168-2-41,CVE-2020-89874,Template Injection Vulnerabilities,Prevent SQL Injection
7.0,192.168.2.56,443,TCP,srv-192-168-2-56,CVE-2023-19222,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
7.8,172.16.0.70,443,TCP,nas-172-16-0-70,CVE-2022-54020,SQL Injection Vulnerabilities,Configure Content Security
8.1,192.168.10.27,443,TCP,ws-192-168-10-27,CVE-2021-87244,IIS Vulnerability Issues,Update Lighttpd Patch
7.5,192.168.10.54,445,TCP,app-192-168-10-54,CVE-2022-19961,Sudo Policy Misconfiguration,Remove Unused Packages
7.1,10.1.113.207,135,TCP,nas-10-1-113-207,CVE-2022-47606,Sudo Policy Misconfiguration,Update Tomcat Patch
4.4,172.16.0.57,162,UDP,dc-172-16-0-57,,SNMP Default Community Strings,Update OpenSSL Packages
6.0,172.16.1.36,445,TCP,gw-172-16-1-36,CVE-2018-20386,Outdated Driver Vulnerabilities,Update DNSSEC Configuration
8.0,172.16.0.230,135,TCP,print-172-16-0-230,,Sudo Policy Misconfiguration,Implement Micro-Segmentation
8.0,192.168.1.42,22,TCP,dc-192-168-1-42,CVE-2021-21107,Stack Overflow Vulnerabilities,Restrict Port Access
6.4,192.168.2.239,135,TCP,ws-192-168-2-239,CVE-2018-35331,Outdated Driver Vulnerabilities,Configure Content Security
8.2,10.1.113.207,80,TCP,nas-10-1-113-207,CVE-2023-31402,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
8.2,192.168.1.176,22,TCP,fw-192-168-1-176,CVE-2022-49857,Template Injection Vulnerabilities,Update Vulnerable Dependencies
3.3,10.1.225.63,135,TCP,fw-10-1-225-63,CVE-2018-76945,Outdated Driver Vulnerabilities,Configure Content Security
9.7,172.16.0.57,9090,TCP,dc-172-16-0-57,CVE-2022-44795,Template Injection Vulnerabilities,Update OpenSSL Packages
6.7,172.16.1.65,443,TCP,srv-172-16-1-65,CVE-2021-67011,Cross-Site Scripting Vulnerabilities,Update Lighttpd Patch
6.2,192.168.10.240,80,TCP,app-192-168-10-240,,Template Injection Vulnerabilities,Update Cipher Suites
8.4,10.0.0.86,135,TCP,db-10-0-0-86,CVE-2022-82848,Sudo Policy Misconfiguration,Implement Micro-Segmentation
4.6,10.0.149.123,443,TCP,nas-10-0-149-123,CVE-2023-22170,Outdated Library Vulnerabilities,Disable Vulnerable Endpoint
9.0,192.168.2.208,22,TCP,srv-192-168-2-208,CVE-2022-14288,SQL Injection Vulnerabilities,Update Tomcat Patch
6.7,192.168.1.42,22,TCP,dc-192-168-1-42,,Sudo Policy Misconfiguration,Remove Unused Packages
6.9,192.168.1.58,8443,TCP,db-192-168-1-58,CVE-2022-39571,Outdated TLS Library Issues,Renew Certificate Update
6.0,192.168.10.155,8443,TCP,app-192-168-10-155,CVE-2020-13148,Cross-Site Scripting Vulnerabilities,Prevent SQL Injection
8.3,10.2.71.119,3306,TCP,web-10-2-71-119,CVE-2022-42177,SQL Injection Vulnerabilities,Configure Content Security
8.7,192.168.1.40,993,TCP,fw-192-168-1-40,CVE-2022-52516,Outdated TLS Library Issues,Renew Certificate Update
8.3,192.168.10.27,8443,TCP,ws-192-168-10-27,CVE-2022-67654,Outdated TLS Library Issues,Renew Certificate Update
6.6,172.16.1.36,53,UDP,gw-172-16-1-36,CVE-2020-69809,DNS Zone Transfer Vulnerabilities,Disable Vulnerable Endpoint
8.4,192.168.1.72,995,TCP,dc-192-168-1-72,CVE-2022-80701,Outdated TLS Library Issues,Renew Certificate Update
8.6,192.168.1.58,80,TCP,db-192-168-1-58,CVE-2023-42094,Cross-Site Scripting Vulnerabilities,Restrict Port Access
6.1,10.0.248.24,445,TCP,web-10-0-248-24,CVE-2018-41860,Outdated Driver Vulnerabilities,Update DNSSEC Configuration
5.7,192.168.1.222,8443,TCP,ws-192-168-1-222,CVE-2020-75767,Lighttpd Vulnerability Issues,Apply Entity Encoding
8.7,10.0.0.86,9090,TCP,db-10-0-0-86,CVE-2022-92544,Template Injection Vulnerabilities,Disable Vulnerable Endpoint
