definition.description,definition.solution,severity,asset.display_ipv4_address,port,protocol,asset.host_name,definition.cve
"SUID binary misconfiguration on Red Hat Enterprise Linux 9 (CVE-2022-74374). The mount binary at /etc/apache2/ has incorrect SUID bits, allowing a local user to read sensitive memory contents by exploiting a use-after-free condition. OS: Red Hat Enterprise Linux 9; port 22/TCP.",Follow vendor security advisory CVE-2023-47957. Download and apply the official patch from the vendor support portal.,8.2,10.1.168.111,22,TCP,fw-10-1-168-111,
"Jetty 8.2.1 on Fedora 37 is configured to accept weak cryptographic ciphers (CVE-2020-80275). Supported suites include NULL ciphers, allowing a MITM attacker to enumerate internal network hosts. Config file: /var/www/html/. Port: 8443/TCP.",Apply input validation and output encoding. Use ORM frameworks to prevent raw SQL injection. Review query at /var/www/html/.,6.9,172.16.0.25,443,TCP,fw-172-16-0-25,
Lighttpd 1.1.0 on CentOS 8 Stream is affected by a critical RCE vulnerability (CVE-2022-81825). An unauthenticated remote attacker can read sensitive memory contents through a race condition in the kernel scheduler. Vulnerable endpoint: /var/lib/mysql/. Port: 80/TCP.,Apply the vendor patch for CVE-2022-46724 immediately. Upgrade Lighttpd to version 5.2.0 or later.,9.5,10.2.67.36,443,TCP,web-10-2-67-36,CVE-2022-53279
"Jetty 8.2.1 on Fedora 37 is configured to accept weak cryptographic ciphers (CVE-2020-80275). Supported suites include NULL ciphers, allowing a MITM attacker to enumerate internal network hosts. Config file: /var/www/html/. Port: 8443/TCP.",Apply input validation and output encoding. Use ORM frameworks to prevent raw SQL injection. Review query at /var/www/html/.,4.6,192.168.10.27,443,TCP,ws-192-168-10-27,
CVE-2020-81110: IIS on Alpine Linux 3.17 offers ANON cipher suites. An attacker can perform man-in-the-middle attacks by exploiting a use-after-free condition. Listening on port 8443/TCP.,Apply HTML entity encoding to user inputs before rendering in templates. Use 'htmlspecialchars()' or equivalent in the application at /etc/mysql/.,6.1,10.1.21.188,8443,TCP,dc-10-1-21-188,
"Outdated VMware VMXNET3 driver (5.0.1) installed on Debian 10 (Buster) (CVE-2018-70903). The driver exposes an IOCTL handler with insufficient input validation, allowing a local attacker to enumerate internal network hosts. Path: /usr/local/bin/.",Restrict DNS zone transfers to authorized secondary servers only. Add 'allow-transfer { <IP>; }' in C:\Program Files\named.conf.,5.6,192.168.2.42,139,TCP,dc-192-168-2-42,CVE-2018-56340
Expired X.509 certificate detected (CVE-2023-77489) on Debian 10 (Buster). The certificate for api.internal signed by DigiCert has expired. Service: Jetty on port 8443/TCP.,Update the Linux kernel to version 8.2.1 or later. Use 'apt-get install linux-image-generic' or equivalent.,5.8,192.168.2.34,443,TCP,fw-192-168-2-34,
"Blind SQL injection in Apache httpd (1.1.0) on Windows 10 Enterprise (CVE-2022-73068). The 'order' query parameter is not parameterized in /etc/mysql/, enabling an attacker to escalate privileges to SYSTEM or root. Database: Microsoft SQL Server; port 8080/TCP.",Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,9.5,192.168.1.72,8080,TCP,dc-192-168-1-72,
"Apache httpd 5.2.0 on Windows 11 Pro is configured to accept weak cryptographic ciphers (CVE-2020-15559). Supported suites include DES ciphers, allowing a MITM attacker to steal session tokens or credentials. Config file: /var/log/. Port: 8080/TCP.",Update Lighttpd to version 1.0.1 which includes SQLi fixes. Enable WAF rules for SQL injection patterns.,6.0,10.1.113.207,8080,TCP,nas-10-1-113-207,CVE-2020-19108
CVE-2020-90649: Lighttpd on Windows 10 Enterprise offers export-grade cipher suites. An attacker can exfiltrate confidential data from the host by sending a malformed TLS ClientHello. Listening on port 8443/TCP.,Update Lighttpd to version 1.0.1 which includes SQLi fixes. Enable WAF rules for SQL injection patterns.,4.8,10.0.220.29,8080,TCP,db-10-0-220-29,CVE-2020-89079
"Outdated Intel NIC driver (1.0.1) installed on Windows Server 2019 (CVE-2018-44184). The driver exposes an IOCTL handler with insufficient input validation, allowing a local attacker to exfiltrate confidential data from the host. Path: /etc/openssl/.",Enable DNSSEC signing for all zones. Update BIND/Unbound to version 1.1.0 and apply current security advisories.,5.8,172.16.1.40,445,TCP,web-172-16-1-40,CVE-2018-41065
"SUID binary misconfiguration on Oracle Linux 8 (CVE-2022-66917). The mount binary at C:\Windows\System32\ has incorrect SUID bits, allowing a local user to gain root-level access to the system through a specially crafted packet. OS: Ubuntu 20.04 LTS; port 22/TCP.",Review and implement all mitigations specified in the vendor bulletin. Update Tomcat to the patched release (2.2.0).,6.8,10.0.58.211,445,TCP,srv-10-0-58-211,CVE-2022-11792
End-of-life libcurl (9.0.0) installed on Windows Server 2022 (CVE-2023-72744). No security patches are available for this version; an attacker can enumerate internal network hosts. Binary path: /etc/nginx/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,7.5,10.1.151.109,80,TCP,srv-10-1-151-109,CVE-2023-49316
"CVE-2022-75535: Template injection leading to RCE in IIS 4.0.0 on Ubuntu 18.04 LTS. Server-side template expressions are evaluated from user input at /var/lib/mysql/, enabling an attacker to forge authentication tokens through reflected JavaScript payloads in query parameters. Port: 8080/TCP.",Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,9.1,172.16.1.1,22,TCP,app-172-16-1-1,CVE-2022-30866
CVE-2021-47701: FreeBSD kernel 1.1.0 on Windows Server 2022 is vulnerable to an integer overflow leading to a buffer overwrite. An attacker can gain root-level access to the system via SQL metacharacter injection in the login form. Kernel module path: /usr/share/snmp/; exposed via port 445/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",10.0,10.0.143.51,22,TCP,nas-10-0-143-51,
CVE-2020-69596: Apache httpd on Red Hat Enterprise Linux 8 offers ANON cipher suites. An attacker can forge authentication tokens through a race condition in the kernel scheduler. Listening on port 8443/TCP.,Apply input validation and output encoding. Use ORM frameworks to prevent raw SQL injection. Review query at /var/www/html/.,7.6,10.1.249.237,8080,TCP,gw-10-1-249-237,CVE-2020-87110
"CVE-2022-75535: Template injection leading to RCE in IIS 4.0.0 on Ubuntu 18.04 LTS. Server-side template expressions are evaluated from user input at /var/lib/mysql/, enabling an attacker to forge authentication tokens through reflected JavaScript payloads in query parameters. Port: 8080/TCP.",Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,7.7,192.168.10.42,80,TCP,fw-192-168-10-42,CVE-2022-66531
"Stack-based buffer overflow in Windows NT kernel (version 1.1.0) on CentOS 7 — CVE-2021-24801. The vulnerability exists in the memcpy call at C:\inetpub\wwwroot\, enabling an attacker to exfiltrate confidential data from the host.","Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",8.8,10.0.158.21,23,TCP,gw-10-0-158-21,CVE-2021-39146
"BoringSSL version 2.1.4 on SUSE Linux Enterprise 15 is affected by CVE-2022-14975. The library implements deprecated TLS 1.0 ciphersuites, allowing an attacker to execute arbitrary code with elevated privileges via an integer overflow in the parsing routine. Affected path: /etc/ssh/. Port: 443/TCP.","Change the SNMP community string from 'private' to a strong, random value. Restrict SNMP access by IP in /usr/local/bin/snmpd.conf.",7.0,192.168.1.58,636,TCP,db-192-168-1-58,
"SUID binary misconfiguration on Red Hat Enterprise Linux 9 (CVE-2022-74374). The mount binary at /etc/apache2/ has incorrect SUID bits, allowing a local user to read sensitive memory contents by exploiting a use-after-free condition. OS: Red Hat Enterprise Linux 9; port 22/TCP.","Implement micro-segmentation with host-based firewalls. Restrict traffic to only required ports between segments. Additionally, verify patch 33.",8.9,10.0.149.123,3389,TCP,nas-10-0-149-123,
CVE-2022-32005: MbedTLS 1.2.3 on Windows Server 2016 ships with a vulnerable TLS stack. An attacker through reflected JavaScript payloads in query parameters could execute arbitrary code with elevated privileges. Binaries located at /var/lib/mysql/. Listening on port 8443/TCP.,Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,8.0,10.1.98.98,995,TCP,print-10-1-98-98,CVE-2022-98835
Weak cipher suite enabled on Debian 12 (Bookworm) running LibreSSL 8.2.1 (CVE-2020-55229). The CBC cipher allows an attacker to enumerate internal network hosts through improper bounds checking. Port: 443/TCP; config: /var/www/html/.,Apply input validation and output encoding. Use ORM frameworks to prevent raw SQL injection. Review query at /var/www/html/.,5.8,10.1.98.98,8080,TCP,print-10-1-98-98,CVE-2020-45956
"The SNMP agent running on Windows Server 2022 (version 8.0.3) exposes management data without authentication (CVE-2019-10053). SNMPv1/v2c community strings are transmitted in cleartext, enabling a network attacker to perform man-in-the-middle attacks. Affected service: Cisco IOS SNMP on port 161/UDP.",Install OpenSSL >= 6.0.0 from the official repository. Recompile applications that statically link the library.,4.4,10.1.172.221,161,UDP,web-10-1-172-221,
Weak cipher suite enabled on Fedora 37 running LibreSSL 4.1.3 (CVE-2020-96034). The NULL cipher allows an attacker to escalate privileges to SYSTEM or root by exploiting a use-after-free condition. Port: 443/TCP; config: /etc/openssl/.,Apply HTML entity encoding to user inputs before rendering in templates. Use 'htmlspecialchars()' or equivalent in the application at /etc/mysql/.,7.5,192.168.1.40,8443,TCP,fw-192-168-1-40,CVE-2020-34749
"Outdated Realtek Ethernet driver (1.3.7) installed on Ubuntu 18.04 LTS (CVE-2018-34670). The driver exposes an IOCTL handler with insufficient input validation, allowing a local attacker to execute arbitrary code with elevated privileges. Path: /home/user/.ssh/.",Configure Content-Security-Policy in /srv/www/ to restrict script sources. Add X-Content-Type-Options: nosniff.,3.5,10.2.67.30,139,TCP,ws-10-2-67-30,CVE-2018-15559
"Outdated MbedTLS (5.2.0) detected on Windows Server 2016 (CVE-2022-18804). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to perform man-in-the-middle attacks. Port 443/TCP; config at /etc/nginx/.",Set SSLCipherSuite to HIGH:!aNULL:!MD5:!3DES in /etc/nginx/. Verify with 'nmap --script ssl-enum-ciphers'.,8.3,192.168.2.109,993,TCP,nas-192-168-2-109,
"Stack-based buffer overflow in FreeBSD kernel (version 1.1.0) on Debian 12 (Bookworm) — CVE-2021-23593. The vulnerability exists in the sprintf call at /usr/local/bin/, enabling an attacker to inject malicious payloads into database queries.","Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",8.3,10.0.248.24,445,TCP,web-10-0-248-24,CVE-2021-86200
python3-lib version 7.1.0 on Windows Server 2022 is outdated and affected by CVE-2023-77245. The package contains a known vulnerability that allows an attacker to crash the service and trigger a denial of service by exploiting a use-after-free condition. Package location: /usr/lib/ssl/. Port: 22/TCP.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,4.6,10.2.130.127,22,TCP,ws-10-2-130-127,CVE-2023-87193
CVE-2022-33865: NSS 3.4.5 on Fedora 37 ships with a vulnerable TLS stack. An attacker via an integer overflow in the parsing routine could enumerate internal network hosts. Binaries located at /usr/local/bin/. Listening on port 443/TCP.,Generate a new CSR and obtain a renewed certificate from Comodo. Update the certificate at /etc/ssh/.,6.9,192.168.1.225,995,TCP,print-192-168-1-225,
"Outdated NSS (3.4.5) detected on Oracle Linux 8 (CVE-2022-76809). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to steal session tokens or credentials. Port 993/TCP; config at /usr/local/bin/.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,8.9,192.168.10.19,995,TCP,nas-192-168-10-19,
"Outdated NSS (7.1.0) detected on Ubuntu 20.04 LTS (CVE-2022-96760). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to exfiltrate confidential data from the host. Port 995/TCP; config at /usr/lib/ssl/.",Upgrade to SNMPv3 with authPriv security level. Disable SNMPv1/v2c and remove default community strings.,8.4,10.2.67.36,8443,TCP,web-10-2-67-36,CVE-2022-40613
CVE-2021-96305: FreeBSD kernel 7.1.0 on Debian 11 (Bullseye) is vulnerable to an integer overflow leading to a buffer overwrite. An attacker can inject malicious payloads into database queries via a crafted HTTP request. Kernel module path: /srv/www/; exposed via port 445/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",9.0,192.168.2.42,23,TCP,dc-192-168-2-42,
CVE-2020-65381: dnsmasq on Ubuntu 18.04 LTS is vulnerable to cache poisoning (version 2.1.4). An attacker can forge authentication tokens through improper bounds checking. Config at /etc/apache2/; port 53/UDP.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,5.3,10.1.98.98,53,UDP,print-10-1-98-98,CVE-2020-51552
CVE-2018-13655: VirtIO network driver on Fedora 36 fails to validate DMA buffer boundaries (version 3.0.0). An attacker can bypass authentication controls through improper bounds checking. Driver path: C:\inetpub\wwwroot\; service port 445/TCP.,Enable DNSSEC signing for all zones. Update BIND/Unbound to version 1.1.0 and apply current security advisories.,4.8,10.1.6.190,445,TCP,app-10-1-6-190,
CVE-2021-31020: Linux kernel 8.0.3 on SUSE Linux Enterprise 15 is vulnerable to an integer overflow leading to a buffer overwrite. An attacker can bypass authentication controls by exploiting weak entropy in session token generation. Kernel module path: /opt/app/; exposed via port 23/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",9.9,10.1.11.170,445,TCP,web-10-1-11-170,CVE-2021-82536
"Jetty 8.2.1 on Fedora 37 is configured to accept weak cryptographic ciphers (CVE-2020-80275). Supported suites include NULL ciphers, allowing a MITM attacker to enumerate internal network hosts. Config file: /var/www/html/. Port: 8443/TCP.",Apply input validation and output encoding. Use ORM frameworks to prevent raw SQL injection. Review query at /var/www/html/.,5.5,10.1.113.207,443,TCP,nas-10-1-113-207,CVE-2020-70981
"Blind SQL injection in Tomcat (1.3.7) on Debian 11 (Bullseye) (CVE-2022-48086). The 'ref' query parameter is not parameterized in /home/user/.ssh/, enabling an attacker to enumerate internal network hosts. Database: SQLite; port 8080/TCP.",Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,8.1,192.168.10.55,8080,TCP,dc-192-168-10-55,
"Outdated VMware VMXNET3 driver (2.0.0) installed on Oracle Linux 8 (CVE-2018-80882). The driver exposes an IOCTL handler with insufficient input validation, allowing a local attacker to perform man-in-the-middle attacks. Path: /home/user/.ssh/.",Enable DNSSEC signing for all zones. Update BIND/Unbound to version 1.1.0 and apply current security advisories.,4.8,10.1.162.109,445,TCP,app-10-1-162-109,CVE-2018-25420
"Lighttpd 9.0.0 on Fedora 37 is affected by a SQL injection vulnerability (CVE-2022-23274). The application fails to sanitize user input in the filter endpoint, allowing an attacker to enumerate internal network hosts through a race condition in the kernel scheduler. Backend: MySQL. Port: 3306/TCP.",Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,8.7,10.2.130.127,443,TCP,ws-10-2-130-127,
VirtIO network driver version 1.0.1 on Ubuntu 18.04 LTS contains a compatibility flaw (CVE-2018-61764). An unprivileged local attacker can crash the service and trigger a denial of service via a crafted HTTP request. Affected driver binary: /etc/openssl/. Port: 445/TCP.,Enable DNSSEC signing for all zones. Update BIND/Unbound to version 1.1.0 and apply current security advisories.,5.0,10.2.104.125,139,TCP,dc-10-2-104-125,CVE-2018-65615
Tomcat 2.1.4 on CentOS 8 Stream is affected by a critical RCE vulnerability (CVE-2022-99654). An unauthenticated remote attacker can forge authentication tokens by sending a malformed TLS ClientHello. Vulnerable endpoint: /opt/app/. Port: 80/TCP.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,9.1,192.168.2.253,22,TCP,ws-192-168-2-253,
"CVE-2022-72937: Template injection leading to RCE in Tomcat 9.0.0 on Red Hat Enterprise Linux 9. Server-side template expressions are evaluated from user input at /etc/ssh/, enabling an attacker to crash the service and trigger a denial of service via a heap buffer overflow in the DNS response handler. Port: 80/TCP.",Replace end-of-life sudo (9.0.0) with the latest maintained version. Update lock files.,9.0,10.0.174.185,8080,TCP,ws-10-0-174-185,CVE-2022-59695
"LibreSSL version 2.1.4 on SUSE Linux Enterprise 15 is affected by CVE-2022-77466. The library implements deprecated TLS 1.1 ciphersuites, allowing an attacker to inject malicious payloads into database queries through improper bounds checking. Affected path: /opt/app/. Port: 443/TCP.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,8.7,10.1.141.76,443,TCP,print-10-1-141-76,CVE-2022-44663
CVE-2023-75251: Unpatched glibc 2.3.1 on Fedora 36. Multiple known CVEs affect this version. An attacker can forge authentication tokens by exploiting weak entropy in session token generation. Port: 21/TCP; installed at /etc/snmp/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,6.7,192.168.2.208,80,TCP,srv-192-168-2-208,CVE-2023-61126
"TLS certificate on CentOS 7 (IIS 1.1.0) expired on 2021-06-30. CVE-2023-24769: certificate chain validation fails, enabling a MITM attacker to modify or delete critical system files. Port: 443/TCP; cert path: /opt/app/.",Update the Linux kernel to version 1.3.7 or later. Use 'apt-get install linux-image-generic' or equivalent.,6.4,192.168.2.253,443,TCP,ws-192-168-2-253,
"TLS certificate on Windows Server 2016 (Tomcat 8.0.3) expired on 2022-01-15. CVE-2023-14141: certificate chain validation fails, enabling a MITM attacker to gain root-level access to the system. Port: 443/TCP; cert path: C:\Windows\System32\.","Replace password authentication with certificate-based auth in /home/user/.ssh/. Revoke weak credentials and rotate all service accounts. Additionally, verify patch 44.",5.6,172.16.0.106,443,TCP,dc-172-16-0-106,CVE-2023-20772
End-of-life zlib (8.0.3) installed on CentOS 8 Stream (CVE-2023-96439). No security patches are available for this version; an attacker can enumerate internal network hosts. Binary path: /home/user/.ssh/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,6.6,192.168.1.72,21,TCP,dc-192-168-1-72,CVE-2023-31282
End-of-life libcurl (9.0.0) installed on Windows Server 2022 (CVE-2023-72744). No security patches are available for this version; an attacker can enumerate internal network hosts. Binary path: /etc/nginx/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,8.5,192.168.10.42,80,TCP,fw-192-168-10-42,CVE-2023-30142
"SUID binary misconfiguration on Windows Server 2022 (CVE-2022-39123). The pkexec binary at /var/log/ has incorrect SUID bits, allowing a local user to escalate privileges to SYSTEM or root through a specially crafted packet. OS: Windows Server 2016; port 3389/TCP.",Review and implement all mitigations specified in the vendor bulletin. Update Tomcat to the patched release (2.2.0).,8.0,192.168.1.17,3389,TCP,fw-192-168-1-17,
Windows NT kernel 4.0.0 on CentOS 7 is affected by a local privilege escalation (CVE-2022-97275). A low-privileged attacker can enumerate internal network hosts via an integer overflow in the parsing routine. Affected path: /opt/app/. Port: 3389/TCP.,Disable and stop unnecessary services: 'systemctl disable --now rlogin'. Remove associated packages.,8.0,10.2.67.136,3389,TCP,print-10-2-67-136,CVE-2022-87993
"JWT validation flaw in Lighttpd (3.1.2) on Debian 12 (Bookworm) (CVE-2023-78224). The application accepts 'none' as a valid JWT algorithm, allowing an attacker to crash the service and trigger a denial of service via an integer overflow in the parsing routine. Auth config: /etc/apache2/; port 389/TCP.",Update OpenSSH to version 8.0.3. Disable SSH protocol 1 and weak key exchange algorithms.,9.1,172.16.1.136,443,TCP,app-172-16-1-136,CVE-2023-98208
CVE-2022-53515: OpenSSL 5.2.0 on Debian 10 (Buster) ships with a vulnerable TLS stack. An attacker by abusing a misconfigured SNMP community string could inject malicious payloads into database queries. Binaries located at /etc/ssl/certs/. Listening on port 8443/TCP.,"Change the SNMP community string from 'public' to a strong, random value. Restrict SNMP access by IP in /var/www/html/snmpd.conf.",6.8,192.168.1.184,995,TCP,fw-192-168-1-184,CVE-2022-65069
"MbedTLS version 2.0.0 on SUSE Linux Enterprise 15 is affected by CVE-2022-68799. The library implements deprecated TLS 1.0 ciphersuites, allowing an attacker to crash the service and trigger a denial of service via a crafted HTTP request. Affected path: /var/lib/mysql/. Port: 8443/TCP.",Generate a new CSR and obtain a renewed certificate from Let. Update the certificate at /usr/lib/ssl/.,7.2,192.168.2.192,993,TCP,print-192-168-2-192,CVE-2022-66179
"Outdated NSS (2.0.0) detected on Fedora 36 (CVE-2022-34672). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to modify or delete critical system files. Port 993/TCP; config at /var/log/.",Set SSLCipherSuite to HIGH:!aNULL:!MD5:!3DES in /etc/nginx/. Verify with 'nmap --script ssl-enum-ciphers'.,8.6,10.1.63.50,995,TCP,web-10-1-63-50,CVE-2022-49529
CVE-2022-81580: Sudo policy misconfiguration on Fedora 36 (version 4.0.0). An unprivileged user can gain root-level access to the system via the sudo NOPASSWD rule at /etc/nginx/. Port: 135/TCP.,Disable and stop unnecessary services: 'systemctl disable --now telnet'. Remove associated packages.,8.9,10.0.103.187,445,TCP,fw-10-0-103-187,CVE-2022-97500
